country,score,gdp,social,health,freedom,generosity,trust,year,iso_alpha,region,sub_region,dystopia_residual
Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2016,URY,Americas,Latin America and the Caribbean,2.67179
Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,2016,MLT,Europe,Southern Europe,1.9903900000000005
Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,2016,COL,Americas,Latin America and the Caribbean,3.1747999999999994
France,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2016,FRA,Europe,Western Europe,2.4747899999999996
Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2016,THA,Asia,South-eastern Asia,2.5799600000000003
Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2016,SAU,Asia,Western Asia,2.61482
Taiwan,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2016,TWN,Asia,Eastern Asia,2.6147999999999993
Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,2016,QAT,Asia,Western Asia,1.5827
Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,2016,ESP,Europe,Southern Europe,2.3965899999999993
Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,2016,DZA,Africa,Northern Africa,3.4091400000000007
Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,2016,GTM,Americas,Latin America and the Caribbean,3.1990000000000003
Suriname,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,2016,SUR,Americas,Latin America and the Caribbean,3.06824
Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,2016,KWT,Asia,Western Asia,2.28059
Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2016,BHR,Asia,Western Asia,2.2738899999999997
Trinidad and Tobago,6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,2016,TTO,Americas,Latin America and the Caribbean,2.5142200000000003
Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,2016,VEN,Americas,Latin America and the Caribbean,2.9742599999999997
Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2016,SVK,Europe,Eastern Europe,2.61017
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,2016,SLV,Americas,Latin America and the Caribbean,3.22096
